"","name","Nationality","treated","margin","pre_post"
"117","L'OREAL","FR",1,0.11,0
"118","L'OREAL","FR",1,5.406,1
"119","SUEZ RR IWS CHEMICALS FRANCE","FR",1,11.456,0
"120","SUEZ RR IWS CHEMICALS FRANCE","FR",1,19.479,1
"121","ACCENTURE","FR",1,1.167,0
"122","ACCENTURE","FR",1,4.454,1
"123","AHLSTROM SPECIALTIES","FR",1,23.083,0
"124","AHLSTROM SPECIALTIES","FR",1,28.39,1
"125","THALES SERVICES NUMERIQUES SAS","FR",1,3.786,0
"126","THALES SERVICES NUMERIQUES SAS","FR",1,4.48,1
"127","SOCIETE NATIONALE SNCF","FR",1,-4.513,0
"128","SOCIETE NATIONALE SNCF","FR",1,-6.757,1
"129","THERMOCOAX","FR",1,0.439,0
"130","THERMOCOAX","FR",1,2.438,1
"131","SOLAMAT-MEREX","FR",1,14.814,0
"132","SOLAMAT-MEREX","FR",1,22.802,1
"133","CHOMARAT TEXTILES INDUSTRIES","FR",1,6.905,0
"134","CHOMARAT TEXTILES INDUSTRIES","FR",1,15.04,1
"135","ETABLISSEMENTS ANTHOGYR","FR",1,2.083,0
"136","ETABLISSEMENTS ANTHOGYR","FR",1,12.586,1
"137","SOJAM","FR",1,3.834,0
"138","SOJAM","FR",1,6.861,1
"139","HORIBA FRANCE SAS","FR",1,-12.857,0
"140","HORIBA FRANCE SAS","FR",1,-3.403,1
"141","EIFFAGE ENERGIE SYSTEMES - CLEMESSY","FR",1,3.299,0
"142","EIFFAGE ENERGIE SYSTEMES - CLEMESSY","FR",1,2.708,1
"143","VALEO EMBRAYAGES","FR",1,9.114,0
"144","VALEO EMBRAYAGES","FR",1,10.388,1
"145","VIVERIS TECHNOLOGIES","FR",1,5.084,0
"146","VIVERIS TECHNOLOGIES","FR",1,9.548,1
"147","SANOFI PASTEUR","FR",1,9.764,0
"148","SANOFI PASTEUR","FR",1,12.697,1
"149","SENSIENT COSMETIC TECHNOLOGIES","FR",1,-1.679,0
"150","SENSIENT COSMETIC TECHNOLOGIES","FR",1,-3.37,1
"151","CISCO SYSTEMS FRANCE","FR",1,10.474,0
"152","CISCO SYSTEMS FRANCE","FR",1,11.67,1
"153","ONET TECHNOLOGIES","FR",1,6.94,0
